,tweets_cleaned,Topic,compound_sentiment
0,social metric extrem effect recogn mid low cap altcoin futur price movement sol gradual price declin social volum sentiment platform like telegram foreshadow read drop could seen http co jbxncogyuz http co gfnrlmo yh,3,-0.1779
1,rt hannaliubakova belaru day belarusian came street despit repress telegram outag detent,5,-0.34
2,corona info usa new case today recoveri today death total activ case total case total recoveri total death coronaviru covid covid sarscov staysaf sourc coronatrackernep bot telegram,7,-0.8316
3,rt busydrt telegram pleas stop follow page http co l e dfvvyc,4,-0.296
4,cnnbrk hello help promot telegram channel gain telegram channel messeng canal kindli check link contact http co hzpwjnyewr,4,0.7269
5,send twitter trend topic everi hour share friend rstat bot telegram http co eyklspr je,8,0.6597
6,minut go join us fetch ai telegram channel pm gmt speak directli hmsheikh pretzelsnak jonathan mariaminaricova see http co owj xmufi machinelearn ai innov technolog tech commun http co c x pzc h,4,0.296
7,rt neophyt netflix offer hour free netflix alreadi watch web series movi telegram ne,3,0.5106
8,corona info germani new case today recoveri today death total activ case total case total recoveri total death coronaviru covid covid sarscov staysaf sourc coronatrackernep bot telegram,7,-0.8316
9,corona info usa new case today recoveri today death total activ case total case total recoveri total death coronaviru covid covid sarscov staysaf sourc coronatrackernep bot telegram,7,-0.8316
10,telegram begin gener revenu start next year approach activ user ad premium gizmo stuff telegram way respect qualiti telegram durov offici channel full post http co wjgahytqv telegram telegramnew,4,0.4767
11,instant messag platform telegram telegram usual one mani way reach us want send us messag pleas creat ticket via http co smsgc uiu telegram outag telegramdown telegramgroup http co ed igjevx,4,0.1027
12,nete nuestro canal en telegram recib noticia lisi mucho http co zinpvj j http co yvvfykgfxt,4,0.0
13,perform recommend muhurat trade subscrib channel http co bkv pmwahc join telegram commun http co eoskpx youtub telegram pvr relianc sbi moneyheist http co msywjlnpsh,8,0.5719
14,rt rajinireact reach rajinikanth famili member join biggest thalaivar telegram group joinno,4,0.3182
15,buy cloud mine invest project deal mine trade buy cloud mine http co fpcxoxl telegram bittrex binanc bitfinex btcemt mine,0,0.0
16,anyon els experienc telegram problem telegram telegramdown telegram,0,-0.4019
17,rt oaktreetrad momentum build rm telegram group sharehold rm plc warrant holder join group le,4,0.296
18,rt reacto telegram run reacto glitch get fix resiz window minim restor,9,0.0
