,tweets_cleaned,Topic,compound_sentiment
0,well whatsapp longer abl protect peopl privaci alright move telegram telegram http co dbclvzhv,9,0.6908
1,xcur tear late chart volum curateproject offer one stop solut fashion game crypto idea user reward btc eth xcur uniswap http co u snd r telegram http co obrsxxf ta http co zivnypsbsp,5,0.3612
2,rt theskandar within two day lakh whatsapp user join telegram platform lakh delet whatsapp account due new,9,0.296
3,im feed messeng servic might go back text whatsapp signalapp telegram,9,0.0
4,hard find graph show user number whatsapp signal telegram threema etc time,9,-0.0258
5,told conserv group need pay gain k subscrib telegram pay fb twitter case remov platform connect us telegram link http co yur z sd,9,0.3818
6,cameroonian telegram group big promot go easi wuna think http co hc weoopt,8,0.0
7,rt digitalafz new updat whatsapp privaci polici telegram http co ddczzr,9,0.0
8,feel secur download signal telegram although still use whatsapp,9,0.0
9,rt kuttrapali telegram revolut begin tomorrow tech fund techq trade setup stock index oi vol analysi news first invi,9,0.0
10,one app loss two other gain send universallov app muchlov http co u gv aoejt signal telegram android linux opensourc closedsourc posix womenwhocod signalapp telegram http co jgnmyak g,4,0.2732
11,rt rajdeep dy peopl instal telegram whatsapp chang polici alreadi telegram download movi,9,0.0
12,whatsapp overestim import think irreplac signalapp telegram http co wj kvynti,9,0.0
13,telegram daili dose laugther funni video http co gtidvh xeh,8,0.0
14,rt criptoelfo home telegram known tipper due great crypto parti alreadi gave daili ti,3,0.6249
15,signal telegram user whatsapp user http co pebcfwjd,9,0.0
16,rt escen garethick might want take look understand thegreatreopen also telegram group set e,8,0.0772
17,tbh telegram better app like whatsapp netflix gradeup pornhub etc etc,9,0.6597
18,humsaya helplin establish kashmir chinarcorpsia indianarmi feedback amp grievanc local populac contact also establish thru telegram,8,0.0
19,thousand interact day twitter telegram medium constantli grow year elasto,3,0.0
20,watsappsiliyoruz eyvallah bipegeciyoruz signal yaaydayiz telegram derken fazla uzad bu http co nzxsucmgzp,9,0.0
21,masq ai platform allow anonym untrac ultim clandestin internet masq holder telegram http co ckprjlyugr linkswap http co ndreagnha http co aw equq http co c qerhyi eth btc crypto defi,5,0.2263
22,rt raghavtechi latest telegram updat bring abil import whatsapp chat whatsapp telegram http co e sqbqz vh,5,0.0
23,updat bring new import featur help user migrat chat histori http co pidzetelff via shantk telegram whatsapp migrat chat histori myblog,5,0.4019
24,telegram telegramtip telegramgrouplink telegramchannel trumptreason trumpcoupattempt trumpcult dnc rnc telegram platform use isi american counterpart trump mob countri indistinguish group indistinguish messag,9,0.0
25,know signalapp back signal foundat emerg c nonprofit creat made possibl brian acton co founder whatsapp signal telegram,9,0.0
26,whatsappstatu whatsapp inform user whatsappstatu detail safe protect meanwhil peopl alreadi switch signal telegram http co tpmki e oa,9,0.6705
27,zuckerberg discov act like arrog plonker thought whatsapp user would roll passiv accept accept new term condit els littl late altern telegram signal ripwhatsapp http co q q ou us,9,0.7717
28,altern de whatsapp wire full secur signal full secur telegram secret chat,9,0.0
29,rt epochtim washington group su appl take action remov messag app telegram alleg platform,9,0.0
30,anticst make money onlin use mobil phone sell photo http co p z xbe sellphoto sell onlinelearn moneyslav telegram paytmwishlist photojobz,9,0.0
31,coupl nibba nibbi think switch app new whatsappprivacypolici whatsapp signal telegram http co sztslyqe r,9,0.0
32,rt itssssp peopl instal telegram whatsapp chang polici alreadi telegram download movi w,9,0.0
33,telegram build new tool import chat whatsapp app socialmedia http co qsuhu p hm,5,0.0
34,rt ukzak request appl privaci label chart updat show whatsapp vs telegram vs signal vs imessag vs facebookm,9,0.0
35,wonder keep get notif peopl join telegram run away new whatsapp polici well steal peopl data info anyway legal accept tc,9,0.4939
36,rt frontwar work telegram integr welade avail beta function improv come,2,0.0
37,convert cartoon convert photo cartoon cartoon photo maker automat recogn photo crop th face appli cartoon effect app link http co vxjmubtvi whatsappnewpolici telegram elonmusk stevesmith polit hazarakojeenayd appl jeffbezo,9,0.0
38,rt andriysensar textyorgua telegram http co knuy dbtho http,8,0.0
39,jack featur request follow thread convers like follow github issu get notif updat featur request twitterhelp,3,0.3612
40,republican betray terrorist summon washington dc stop steal republican trump trust funni damn racist trust realdonaldtrump foxnew gop parler telegram nazi republicansincongress impeachtrumpagainnow,6,-0.9371
41,mani busi telegram use nearbi mode,9,0.0
42,censor one went coluthub fast news watch telegram freespeech humanright freedomofspeech liberti evolut usa news live,0,-0.4588
43,rt kada soulayman time z code test someon dark python c telegram facebook twitter instag follow medeepakjain medeepakjain learnwithdeepak javascript daysofcod daysofcodechalleng webdev,9,0.0
44,best thing telegram,5,0.6369
45,netflix unriddl problem set roll shuffl play featur offici http co aiyg oebzp news tv technolog entertain netflix problem shuffleplay featur year,3,-0.1779
46,rt kasperski one telegram million new user everyth need know get set app secur htt,9,0.0
47,peopl delet whatsapp new user polici join telegram telegram http co kbak ne,9,0.296
48,want know appl su reason appl telegram whatsapp http co obmyccbp,8,0.0772
49,whatsapp clarifi new privaci polici shotnew whatsapp facebook whatsappprivaci privaci signal telegram http co vkbzizswdh,9,0.0
50,muy pronto no leemo por telegram soon read telegram http co v fqykxzwl,9,-0.296
51,whatsapp updat to peopl freak mani move foss altern like telegram signal come big metaphor import whatsapp chat signal even export wh http co azhnwkvvog,9,-0.1027
52,rt shubhranshuu comedian iarpitspeak predict whatsappnewpolici earli time join univers telegram,9,0.5859
53,peopl migrat telegram whatsapp new privaci polici mark zukerberg soon gonna buy telegram http co p jlctnz,9,0.0
54,n amp quot amp msg collabor writer poet pic music featur blog vibe lum tiktok igdaili ripl motiv trend tag http co gml stndwr,8,0.0
55,ada yg blm tidur vc content nadia readi r amp r dm telegram nadiaabbi vc vcsbugil vcsreal vcscolmek vcsbugil vcstrust vcscroot vcshot vcssangek availvcstrust openvc availvc realvc realaccount malamjumat telegram http co nmtvuxceiy,8,0.0
56,novochat usa telegram e whatsapp dalla stessa applicazion applic grati http co wrdvt fr,9,0.0
57,struggl structur research step proofread edit research propos dissert whatsapp usizolwethukini charg r r day turnaround time ourhelptoy telegram johannesburg http co kx jfn fvi,8,0.0
58,els switch whatsapp telegram whatsappprivacypolici,9,0.0
59,must watch whatsappprivacypolici signalapp whatsappprivaci whatsapp telegram geopakistan whatsappheadquart http co yjg zss,9,0.0
60,delight abl contribut recent fedrigoni thank tm studio featur fedrigoniuk take time explain us dragonrougeuk annual featur design creativ http co g ccofxic http co rd xq bcb,8,0.7506
61,rt iam mian reject whatsappnewpolici becom product allow whatsapp use ur data instsal telegram amp maintain pr,9,-0.2023
62,telegram surpass million activ user januari million new user around world join telegram,9,0.296
63,time switch telegram worst whatsapp polici privacypolici whatsappnewpolici whatsappprivaci privacymatt whatsappnewpolici whatsappisnotsaf telegram encrypt http co wokuvup bs,9,-0.6249
64,sunlight best filter instagood featur dankmem tbt explorepag picoftheday bangalor india http co q hjj mt,8,0.6369
65,telegram app favor isi realli place farright extremist conspiracytheorist anna schecter say extremist plan januari inaugurationday trumpublican americanisi http co cb ytu,9,0.4019
66,iscriv al canal telegram di darthnewssid per ricever notizi dal mondo tech e tant offert interessanti http co mft rg xa,8,0.0
67,whatsapp vs signal vs telegram featur privaci detail compar http co gajcfwnhn,9,0.0
68,rt unexpect omer telegram whatsappsiliyoruz haydin gidek hanimlar beyler http co ymvpkqemmo,8,0.0
69,telegram announc appl remov telegram app user devic without knowledg telegram announc prevent appli mention set appstor http co rtx hi sx,9,0.0258
70,simohosio signal telegram like got boost whatsapp updat term rather far right go hidden,9,0.6369
71,corona info usa new case today recoveri today death total activ case total case total recoveri total death coronaviru covid covid sarscov staysaf sourc coronatrackernep bot telegram,0,-0.8316
72,fb india whatsapp user backswan moment uninstal signal telegram http co gv sdandw,9,0.0
73,aproko doctor free thinker love discuss cut edg side religion psycholog sex sexual movi join telegram channel mutter mind tele commin mani versatil topic http co yvjwdabc,4,0.8225
74,rt defitech fyi paid network nd activ telegram review respect thecryptolif token,9,0.5994
75,avoid whatsapp use telegram telegram,9,-0.296
76,whatsapp privaci polici chang instal telegram delet whatapp whatapp http co sfilfl,9,0.0
77,kaffirbaba facebook sortedeagl twit carm unordinarybong ajitsinhjagirda shytigress gautam anircar himanshu ddn mark zuckerberg facebook whatsapp trash use telegram messeng http co thqzxftuuf,9,0.0
78,today open telegram app lot friend go use watsapp privaci import,9,0.4939
79,rt snoopi telegram get free public whatsapp polici http co pf uud,9,0.5106
80,doctor love deletewhatsappjan deletewhatsapp telegramvswhatsapp telegram,4,0.6369
81,signal signalapp safer telegram telegram elonmusk amp snowden endors messag http co u xlalgw,9,0.4215
82,rt vershapost new updat privaci polici whatsapp like whatsappprivaci telegram whatsappnewpolici http co ftmkrkkyti,9,0.3612
83,open whatsapp morn like fun meme telegram whatsappprivacypolici http co jx h px ta,9,0.7003
84,whatsappnewpolici facebook instagram kiss ass root telegram russia way privyet freedom speech alway said america downward spiral sleepi joe anyth improv besid sleep touch kid sad,9,0.1027
85,rt modelssanskaari real video shave u want meet paid meet retweet messag telegram id name,8,0.0772
86,buy cloud mine invest project deal mine trade buy cloud mine http co knnhdkttvl telegram bittrex binanc bitfinex btcemt btc mine btcusd bitcoin,5,0.0
87,rt rajdeep dy peopl instal telegram whatsapp chang polici alreadi telegram download movi,9,0.0
88,also signal everyon hong kong seem move away whatsapp privaci term concern trend u k amp us app store telegram,9,0.0
89,zapatilla de deport plana http co xyiuuagr w chollo aliexpress banggood oferta rebaja telegram mejorprecio offer gearbest ebay ver producto,5,0.0
90,zilliqa blockchain partner cctip io parti popper tip airdrop zil wrap present twitter telegram discord reddit cctip follow zilliqa retweet comment cctip pick share zil day first share zil,5,0.1779
91,karan elvinlarssonla verg telegram navalni interest http co wplqo v v telegram privaci noprivaci telegrambot get contact,8,0.4588
92,telegram contact last hr telegram whatsappprivacypolici whatsapp http co rc pttjrsg,9,0.0
93,telegram threat whatsapp threat netflix primevideo disneyhotstar,9,-0.7783
94,rt yfinancecash best privaci polici cctip io airdrop yfch telegram whatsapp yfch defi bitcoin cryptocur,5,0.6369
95,rt choudri rais issu govern level whatsappprivacypolici whatsappnewpolici telegram http co hqigdsp,9,0.0
96,rt mahadnaseermrj whatsapp safe let shift telegram whatsappnewpolici telegram http co xg wsvkdaw,9,0.4404
97,rt wasimtariq new updat privaci whatsapp user polici whatsappnewpolici telegram http co yg duailza,9,0.0
98,tip trick onenot user use onenot dock desktop program simultan http co hg qbwbr faq featur knowledg knowledgeispow onenot tip trick http co c sb ydp c,5,-0.1027
99,telegram great way get news without msm bull shit,4,0.792
100,tecnolog life enjoy est dispon http co yzem kifbb gracia pcworld telegram whatsapp,5,0.4939
101,rt publicnak exhibitionist publicsex best everi day post readi download telegram http co fuw pjnj,5,0.6369
