,tweets_cleaned,Topic,compound_sentiment
0,similar like uganda mani countri includ india australia newzealand ban twitter whatsapp protect citizen bigtech propaganda,4,-0.128
1,trust idea master ye improvis techniqu live onlin act class call get free act class whatsapp http co ijjl q,9,0.765
2,alcohol consumpt smoke tremend side effect use hard earn money buy trash total wast time money health whatsapp,7,-0.1027
3,vijayshekhar sir u ur team add extra featur like chat voic call video call etc like whatsapp give user becoz paytm million user kyc also good suggest side madeinindia makeinindia,7,0.7845
4,whatsapp add biometr authent web desktop version move back whatsapp whatsapp signal whatsappbiometr http co wvejkhcydu,0,0.0
5,realiti whatsapp user reveng facebook facebook adopt whatsapp meddl privaci polici user flock telegram signal app user would love leav facebook sooner find altern http co ufr pc ob via kashmirwatch,1,0.7096
6,secur privaci first prioriti mobil user stay secur everyon whatsappprivaci signal whatsapp http co ghuy bozon,0,0.0
7,someon watch whatsappstatu whatsapp whatsapp headquart http co bpkv ramx,0,0.0
8,whatsapp whatsapp statu whatsapp http co bmcugkpfpr,0,0.0
9,use watusi io fouadraheb add new featur whatsapp messeng http co zyd dzjq,5,0.0
10,rt ssrajputinc call record whatsapp,7,0.0
11,use watusi io fouadraheb add new featur whatsapp messeng http co xi zl bkev,5,0.0
12,rt kerl whatsapp whatsappstatu share updat sinc notic mani move telegram social,0,0.296
13,rt hindu transcript whatsapp messag intercept via former barc ceo pratho dasgupta phone run,0,0.0
14,drbiden ebook eritt ghostwritt http co nnqf cmwt whatsapp orlumassacr breakingnew burna endsar igoho ronaldo quattromob republicday tuesdayvib tuesdaymotiv pakvssa farmersprotest godimedia happyrepublicday,0,0.0
15,sure love data mine app use whatsapp whatsapp,1,0.7579
16,nypd pornograph photo facebook instagram twitter youtub video whatsapp tictok,1,0.0
17,rt tavonmand world dark forgotten thepromisedsaviour whatsapp,1,-0.2263
18,waterfal spring frozen zarghoon mountain rang near quetta due sever cold balochistan turkey whatsapp khan http co zzwkfyncm,0,0.0
19,rt ladyvelvet hfq sheep follow order take slaughterhous whatsapp twitter facebook instagra,1,0.0
20,privaci myth whatsappprivaci whatsapp,8,0.0
21,facebook send new term condit whatsapp user facebook whatsapp techsaala http co cveqfwu k,1,0.0
22,whatsapp safe quit watch newstrack rahulkanw pm miss promo http co zp tteacgh,1,0.3182
23,helloimdda whatsapp never appli rule india watch http co gymurffcuf signalapp whatsappprivacypolici whatsappnewpolici,1,0.0
24,india signal fever make dent whatsapp million user base http co nhswheveok,7,0.0
25,rt threatpost whatsapp ask user accept new privaci polici share data facebook begin feb,1,0.5859
26,rt fsftamilnadu whatsapp updat term servic privaci polici import privaci affect term note upda,1,0.0
27,make new year resolut busi one thing walk toward quit anoth let help take step today visit http co zxjmwwxuu find reach x audienc whatsapp whatsapp bulkmessag newyear,1,0.4215
28,rt privacyint whatsapp updat term forc user share data facebook suggest updat,1,0.296
29,rt indiatoday recent whatsapp user rais secur issu updat privaci polici whatsapp clear air,1,0.3818
30,els got spam signalapp today list contact use app guy complet test releas product signalapp signal signalmesseng whatsapp privaci,8,-0.3612
31,digiv radar visit youtub channel http co rwv nokfd technew whatsapp appl http co lg wmx,6,0.0
32,use watusi io fouadraheb add new featur whatsapp messeng http co iern wbd,5,0.0
33,rt snowden wonder signalapp scale whatsapp decis sell user facebook led pro,4,0.0
34,rt privacyint whatsapp updat term forc user share data facebook suggest updat,1,0.296
35,theregist pleas excus said signalapp even imagin new workload whole india would switch whatsapp signal overnight,9,0.0
36,whatsapp telegram signalapp whatsapp whatsappprivacypolici whatsappprivaci,0,0.0
37,rt dan murphi whatsapp effect telegram surpass million activ user past hour alon million n,7,0.0
38,rt yadavshamita happen news sourc whatsapp inko bharat ratna pleas http co wncmkinqq,9,0.0
39,pray god give strength matter go may peac rule heart rise dlozilami lifeaftercovid whatsapp http co libfd cnwh,0,0.7717
40,use watusi io fouadraheb add new featur whatsapp messeng http co dcxfg lzu,5,0.0
41,rt zeenewsenglish signal see surg new user app better whatsapp signalapp whatsappprivacypolici htt,9,0.4404
42,rt razaazizaftab mobilink jazz pleas add signalapp instead whatsapp free panel whatsappprivacypolici whatsappnewpolici w,9,0.5106
43,use watusi io fouadraheb add new featur whatsapp messeng http co inukupddxh,5,0.0
44,use signalapp telegram give stupid polici whatsapp whatsappnewpolici,9,-0.5267
45,whatsapp monet user reason facebook paid billion let move folk http co dkzteu e,1,0.0
46,rt vinsinn make switch product own facebook noth arnabgoswami whatsapp facebook,1,0.0
47,rt kashmir watch andrabi administr mani whatsapp group amp also remain constant touch lashkar e jab,2,0.0
48,move telegram instead whatsapp http co bzcvadla,0,0.0
49,mark zuck invit accept verifi whatsapp like without permiss http co cfrqn ie,6,0.6249
50,zuckerberg say whatsapp threat appl imessag facebook ceo mark zuckerberg voic opinion appl privaci polici affect social media giant busi http co hawzuxfsya,1,-0.5267
51,rt mc phil care use gb whatsapp normal whatsapp repost whatsapp statu pictur without consent th,0,0.3682
52,way new privaci polici whatsapp came morn today whatsapp lick spit howev signalapp telegram continu run whatsappnewpolici whatsapp whatsappprivacypolici whatsappstatu http co vosodvabgn,0,0.0
53,rt strait time whatsapp updat term servic allow data share parent compani facebook prompt,1,0.4767
54,http co f ojaukl let thank god howev januari jan bachchanpandey coronavirusupd moseskuria whatsapp ruto,8,0.5574
55,whatsapp friday announc three month delay new privaci polici origin slate go effect februari th follow widespread backlash custom new polici whatsapp censorship freespeech privaci,8,-0.3182
56,good morn app privaci secur whatsapp onlin class onlin exam studentswantolineexam http co dnmvtwz nc,0,0.4404
57,two week year alreadi mani interview attend comment hr jobalert lagosjob jobsinlago abujajob job jobsearch jobsinabuja whatsapp whatsappjob,4,0.0
58,rt iamadnanchishti whatsapp delay new privaci polici till may compani want user understand new,8,-0.25
59,use watusi io fouadraheb add new featur whatsapp messeng http co zglbge ox,5,0.0
60,rt mr aalekh whatsapp new privaci polici peopl worri much data collect compar signal app telegram amp fac,9,0.0
61,signal app experienc remark growth due concern bigtech recent ban presid trump promin conserv growth spike even whatsapp put place controversi privaci term chang http co vyj,1,0.1531
62,rt thedeshbhakt leak whatsapp chat arnabgoswami make lot buzz big arnabg,7,-0.34
63,rt reacto day whatsapp want data proud share telegram work last version support w,8,0.8074
64,whatsapp new privaci polici roll back petit reach supremecourt http co qpjxosfsq,8,0.0258
65,share inform obligatori wife chink anyon whatsapp facebook sharinginfo shareyourwif http co xn urtn ii,1,0.296
66,rt dayzher honestli funniest pictori represent algorithm work whatsapp http co ckrfcufz,4,0.5574
67,top whatsapp altern app whatsappprivacypolici whatsapp whatsappaltern signalapp signal http co c olbb uyx,0,0.2023
68,rt thehackersnew whatsapp updat privaci polici term servic make data share facebook mandatori imp,1,0.296
69,use watusi io fouadraheb add new featur whatsapp messeng http co cfanjrprbb,5,0.0
70,rt ishantweetz instead use proprietari facebook garbag whatsapp start use signalmesseng complet opensourc secur pl,8,0.0
71,rt aditirav time delet whatsapp,0,0.0
72,first growth hack spam messag whatsapp inbox award goe cleartax lose long time fan http co rolh ag h,1,0.4939
73,use watusi io fouadraheb add new featur whatsapp messeng http co xko lhu fj,5,0.0
74,whatsapp final come faq clear confus claim read user privat chat user trust privaci polici mad mobileappdiari applic technolog whatsapp privacypolici digitalworld http co nhefoyogwi,8,0.4019
75,whatsapp flirt skypesex http co ex wumriqg,0,0.0
76,rt bobblekeyboard friend forev whatsapp group still exist still friend whatsapp friend friendsfor,8,0.8625
